Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,GPR,90/10,-3.053926268581284,0.16868817113211682
Rg norm w/0.427,No regr out,All,ProtBERT,20,Linear,80/20,-0.9272032048844101,0.14644157036523284
Rg norm w/0.427,No regr out,All,ProtBERT,20,Ridge,80/20,-0.6333195258882305,0.1348143741016266
Rg norm w/0.427,No regr out,All,ProtBERT,20,Lasso,80/20,-0.34795518960953076,0.12247243436383003
Rg norm w/0.427,No regr out,All,ProtBERT,20,Kernel Ridge,80/20,-0.07122821515938615,0.10917963154122105
Rg norm w/0.427,No regr out,All,ProtBERT,20,GPR,80/20,-6.265711030441331,0.2843411289466171
Rg norm w/0.427,No regr out,All,ProtBERT,20,Linear,85/15,-1.2113635298405145,0.14297144514918625
Rg norm w/0.427,No regr out,All,ProtBERT,20,Ridge,85/15,-0.8865831085841522,0.13205571665661547
Rg norm w/0.427,No regr out,All,ProtBERT,20,Lasso,85/15,-0.2061742253912311,0.10559035682762029
Rg norm w/0.427,No regr out,All,ProtBERT,20,Kernel Ridge,85/15,0.016737403235499437,0.09533535653280883
Rg norm w/0.427,No regr out,All,ProtBERT,20,GPR,85/15,-7.580647645880806,0.28163023001408777
Rg norm w/0.427,No regr out,All,ProtBERT,20,Linear,90/10,-0.9036963518442362,0.1251945264495019
Rg norm w/0.427,No regr out,All,ProtBERT,20,Ridge,90/10,-0.5142688932941524,0.11165752664498638
Rg norm w/0.427,No regr out,All,ProtBERT,20,Lasso,90/10,-0.2113193959374866,0.09986558229000259
Rg norm w/0.427,No regr out,All,ProtBERT,20,Kernel Ridge,90/10,0.09314344050699541,0.08640836792730906
Rg norm w/0.427,No regr out,All,ProtBERT,20,GPR,90/10,-8.011678807176388,0.2723888681584694
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Linear,80/20,-0.1527089537947457,0.1000106962622638
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Ridge,80/20,0.014023398400593079,0.092495354636596
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Lasso,80/20,0.017788068331253126,0.09231860221406359
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Kernel Ridge,80/20,0.03879197019095704,0.0913261842618698
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,GPR,80/20,-0.5952368674237185,0.11765197080701952
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Linear,85/15,-0.059007771042252966,0.08896779954535321
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Ridge,85/15,-0.010825297810362455,0.08692032208602296
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Lasso,85/15,-0.015651909852250734,0.08712759383698879
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Kernel Ridge,85/15,0.11212312354349974,0.08146285911041376
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,GPR,85/15,-0.7953003018088076,0.115838207265478
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Linear,90/10,-0.3446846135295354,0.0971531585890187
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Ridge,90/10,-0.1917205361316996,0.09146057314728556
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Lasso,90/10,-0.125856505803851,0.0888972298100511
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Kernel Ridge,90/10,-0.13313196513808312,0.08918400110840098
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,GPR,90/10,-1.1884894514378952,0.12394212439196833
Rg norm w/0.427,No regr out,All,ProtBERT,50,Linear,80/20,-5.745776725319379,0.27397857599484976
Rg norm w/0.427,No regr out,All,ProtBERT,50,Ridge,80/20,-1.202782544540042,0.15656202717541354
Rg norm w/0.427,No regr out,All,ProtBERT,50,Lasso,80/20,-0.34795518960953076,0.12247243436383003
Rg norm w/0.427,No regr out,All,ProtBERT,50,Kernel Ridge,80/20,-0.07838527632938086,0.10954374838220965
Rg norm w/0.427,No regr out,All,ProtBERT,50,GPR,80/20,-5.465283235395388,0.2682220024833351
Rg norm w/0.427,No regr out,All,ProtBERT,50,Linear,85/15,-6.669993021603509,0.2662666167145833
Rg norm w/0.427,No regr out,All,ProtBERT,50,Ridge,85/15,-1.8765372267290759,0.16306255202622694
Rg norm w/0.427,No regr out,All,ProtBERT,50,Lasso,85/15,-0.2061742253912311,0.10559035682762029
Rg norm w/0.427,No regr out,All,ProtBERT,50,Kernel Ridge,85/15,-0.0075859650985110605,0.09650732774822092
Rg norm w/0.427,No regr out,All,ProtBERT,50,GPR,85/15,-7.432335368038734,0.2791857007858216
Rg norm w/0.427,No regr out,All,ProtBERT,50,Linear,90/10,-4.460926323268837,0.2120409110676565
Rg norm w/0.427,No regr out,All,ProtBERT,50,Ridge,90/10,-1.497804262332906,0.14340546568641008
Rg norm w/0.427,No regr out,All,ProtBERT,50,Lasso,90/10,-0.2113193959374866,0.09986558229000259
Rg norm w/0.427,No regr out,All,ProtBERT,50,Kernel Ridge,90/10,0.07819650587994842,0.08711755494713279
Rg norm w/0.427,No regr out,All,ProtBERT,50,GPR,90/10,-5.329339564757049,0.2282788630712265
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Linear,80/20,-0.5806964494700875,0.11711455063930472
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Ridge,80/20,-0.051713182181019945,0.09552900981668931
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Lasso,80/20,-0.10320956403557946,0.09783981584448614
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Kernel Ridge,80/20,-0.07873603520143213,0.0967484934050141
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,GPR,80/20,-0.4447012732072888,0.11196328837332523
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Linear,85/15,-0.3111896390341884,0.09899563144286291
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Ridge,85/15,0.03439050636736607,0.08495404050867905
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Lasso,85/15,-0.015399691730362264,0.08711677491255308
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Kernel Ridge,85/15,0.08707308436278205,0.08260403869715524
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,GPR,85/15,-0.6906867446580092,0.11241256294093016
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Linear,90/10,-0.8541073428223074,0.11408121656733186
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Ridge,90/10,-0.14258422407457716,0.08955520216726509
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Lasso,90/10,-0.1154051233191935,0.08848364902492811
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,-0.15422591605121583,0.09001028102534302
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,GPR,90/10,-0.7521066564193477,0.1108988331722205
Rg norm w/0.427,No regr out,All,ProtBERT,100,Linear,80/20,-56.86875728192556,0.8024587202031592
Rg norm w/0.427,No regr out,All,ProtBERT,100,Ridge,80/20,-1.6194081547188754,0.17072700054418857
Rg norm w/0.427,No regr out,All,ProtBERT,100,Lasso,80/20,-0.34795518960953076,0.12247243436383003
Rg norm w/0.427,No regr out,All,ProtBERT,100,Kernel Ridge,80/20,-0.0839636282884395,0.10982671096634462
Rg norm w/0.427,No regr out,All,ProtBERT,100,GPR,80/20,-6.473791244248926,0.2883839621237811
Rg norm w/0.427,No regr out,All,ProtBERT,100,Linear,85/15,-80.50905765541869,0.8680048897277683
Rg norm w/0.427,No regr out,All,ProtBERT,100,Ridge,85/15,-2.5004390213493948,0.17987901214584787
Rg norm w/0.427,No regr out,All,ProtBERT,100,Lasso,85/15,-0.2061742253912311,0.10559035682762029
Rg norm w/0.427,No regr out,All,ProtBERT,100,Kernel Ridge,85/15,-0.015186052261973337,0.09687061495864231
Rg norm w/0.427,No regr out,All,ProtBERT,100,GPR,85/15,-9.082860272982883,0.3052889674427887
