Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,GPR,80/20,0.585329545277226,0.880819333843997
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.46672065105676275,1.0325982085884515
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.47249693010311833,1.0269906269518014
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.4667275784411382,1.0325915017584
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.6596506969570624,0.8249287069638821
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,GPR,85/15,0.6164342441301132,0.8757374006444933
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.4563394624558068,1.0539755559338362
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.4625925451616537,1.0478967102259145
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Lasso,90/10,0.45669803018357447,1.0536279272863645
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,0.5725389879774032,0.9345765688265313
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.6088752106740718,0.8939727991366665
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Linear,80/20,0.10764175534882858,0.45467528163118237
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Ridge,80/20,0.10381498121007304,0.45564914959664354
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Lasso,80/20,0.04987018201671267,0.4691623987729441
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.9119326818901764,0.14283647035528546
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,GPR,80/20,0.9140087418965526,0.14114284776216038
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Linear,85/15,0.09404733420572142,0.5221573377208915
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Ridge,85/15,0.09100102598448412,0.523034490211029
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Lasso,85/15,0.08171170977159725,0.5257002153647466
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.9202966897001723,0.15487695852831096
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,GPR,85/15,0.9228796076412992,0.1523467686219912
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Linear,90/10,0.05701649936936626,0.6293246593746153
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Ridge,90/10,0.051293067060956266,0.6312316111856718
