Normalization,Regressing out,Points,Model,PCA Components,Regression Type,RMSE Score
Rg norm w/0.421,pH regr out,All,ProtBERT,50,GPR,0.10016790821602026
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,20,Ridge,0.10022676407314016
Rg norm w/0.406,No regr out,Inliers,ProtBERT,20,Ridge,0.10022773671974396
Rg norm w/0.5,buffer regr out,All,ProtBERT,10,Linear,0.10034431475901023
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,190,Lasso,0.10035883067136281
Rg norm w/0.406,No regr out,Inliers,ProtBERT,190,Lasso,0.10036096749837271
Rg norm w/0.406,pH regr out,All,ProtBERT,20,Kernel Ridge,0.10064134880136515
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,10,Kernel Ridge,0.10123435088788961
Rg norm w/0.406,pH regr out,All,ProtBERT,190,GPR,0.10171250023944485
Rg norm w/0.406,pH regr out,All,ProtBERT,50,Kernel Ridge,0.10172360019918299
Rg norm w/0.421,No regr out,All,ProtBERT,10,Kernel Ridge,0.10197409044594395
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,190,Kernel Ridge,0.10208531236272046
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,20,Lasso,0.10220334238330116
Rg norm w/0.406,No regr out,Inliers,ProtBERT,20,Lasso,0.10220472491063627
Rg norm w/0.421,buffer regr out,All,ProtBERT,100,Kernel Ridge,0.10221562863086196
Rg norm w/0.421,buffer regr out,All,ProtBERT,190,Kernel Ridge,0.10223558369697815
Rg norm w/0.421,buffer regr out,All,ProtBERT,10,Kernel Ridge,0.10234459997602875
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,100,Kernel Ridge,0.10249161273665829
Rg norm w/0.406,No regr out,Inliers,ProtBERT,20,Kernel Ridge,0.1028019883595961
Rg norm w/0.406,pH regr out,All,ProtBERT,100,GPR,0.10302370270860121
Rg norm w/0.5,buffer regr out,All,ProtBERT,190,Ridge,0.10307962040791202
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,10,Ridge,0.10326619345649649
Rg norm w/0.406,No regr out,Inliers,ProtBERT,10,Ridge,0.10326773976153156
Rg norm w/0.421,buffer regr out,All,ProtBERT,50,Kernel Ridge,0.10348732576913718
Rg norm w/0.406,pH regr out,All,ProtBERT,10,GPR,0.10352644059624816
Rg norm w/0.421,No regr out,All,ProtBERT,20,Kernel Ridge,0.10367711657586234
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,190,Ridge,0.10376902403921912
Rg norm w/0.421,buffer regr out,All,ProtBERT,190,GPR,0.10378965019851426
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,100,Ridge,0.10386010869584877
Rg norm w/0.406,No regr out,Inliers,ProtBERT,10,Kernel Ridge,0.10395984842434708
Rg norm w/0.421,No regr out,All,ProtBERT,50,Kernel Ridge,0.1040336909003884
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,10,Lasso,0.10404291408846167
Rg norm w/0.406,No regr out,Inliers,ProtBERT,10,Lasso,0.10404455285387774
Rg norm w/0.5,buffer regr out,All,ProtBERT,100,Ridge,0.10415761570905618
Rg norm w/0.421,No regr out,All,ProtBERT,100,Kernel Ridge,0.10418004952147561
Rg norm w/0.421,buffer regr out,All,ProtBERT,100,GPR,0.10443121832480691
Rg norm w/0.421,buffer regr out,All,ProtBERT,20,Kernel Ridge,0.10461417772243568
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,20,Linear,0.10497591787151442
Rg norm w/0.406,No regr out,Inliers,ProtBERT,20,Linear,0.10497673689615034
Rg norm w/0.406,No regr out,Inliers,ProtBERT,190,GPR,0.10507440258691142
Rg norm w/0.421,No regr out,All,ProtBERT,190,Kernel Ridge,0.10518495595017659
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,10,Linear,0.10529829923817396
Rg norm w/0.406,No regr out,Inliers,ProtBERT,10,Linear,0.10530002037570939
Rg norm w/0.421,buffer regr out,All,ProtBERT,10,GPR,0.10555303826055674
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,50,Ridge,0.10592756968673489
Rg norm w/0.421,buffer regr out,All,ProtBERT,20,GPR,0.10654153682056108
Rg norm w/0.406,pH regr out,All,ProtBERT,20,GPR,0.1067607232206617
Rg norm w/0.5,buffer regr out,All,ProtBERT,50,Ridge,0.10696511098731
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,10,Lasso,0.10711102050849716
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,20,Lasso,0.1074780368149797
Rg norm w/0.406,pH regr out,All,ProtBERT,50,GPR,0.10788639196267802
Rg norm w/0.421,buffer regr out,All,ProtBERT,50,GPR,0.10799855274332727
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,20,Kernel Ridge,0.1086357025470575
Rg norm w/0.5,buffer regr out,All,ProtBERT,20,Linear,0.10883683280158257
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,50,Kernel Ridge,0.10929322346399692
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,100,Lasso,0.10936783854128224
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,10,Ridge,0.10940965818972472
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,190,Lasso,0.10959682282007
Rg norm w/0.406,buffer regr out,Inliers,ProtBERT,190,Kernel Ridge,0.10960944610244014
Rg norm w/0.421,No regr out,Inliers,ProtBERT,100,GPR,0.10962934749075884
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,20,Ridge,0.10973632801144204
Rg norm w/0.406,buffer regr out,All,ProtBERT,100,Kernel Ridge,0.1099460077004449
Rg norm w/0.406,buffer regr out,All,ProtBERT,190,Kernel Ridge,0.10997033633169866
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,50,Lasso,0.11000209323348993
Rg norm w/0.406,buffer regr out,All,ProtBERT,10,Kernel Ridge,0.11009003933253161
Rg norm w/0.406,buffer regr out,Inliers,ProtBERT,100,Kernel Ridge,0.11033584751832012
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,GPR,0.11080030221684861
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,50,Linear,0.11113382699801444
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,10,Linear,0.1112162697548308
Rg norm w/0.406,buffer regr out,All,ProtBERT,50,Kernel Ridge,0.11126705202528214
Rg norm w/0.406,buffer regr out,All,ProtBERT,190,GPR,0.11161248580210417
Rg norm w/0.406,buffer regr out,Inliers,ProtBERT,190,Ridge,0.11165305836329459
Rg norm w/0.5,No regr out,All,ProtBERT,10,Kernel Ridge,0.1116569657412708
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,10,Kernel Ridge,0.11183745983556942
Rg norm w/0.406,buffer regr out,Inliers,ProtBERT,100,Ridge,0.11196296922150752
Rg norm w/0.5,No regr out,All,ProtBERT,20,Kernel Ridge,0.1121088412351452
Rg norm w/0.406,buffer regr out,All,ProtBERT,100,GPR,0.11232130063664217
Rg norm w/0.406,buffer regr out,All,ProtBERT,20,Kernel Ridge,0.11250294145184452
Rg norm w/0.5,No regr out,All,ProtBERT,50,Kernel Ridge,0.11250762909002246
Rg norm w/0.5,No regr out,All,ProtBERT,100,Kernel Ridge,0.11267006496829896
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,190,GPR,0.11289245669902087
Rg norm w/0.406,buffer regr out,All,ProtBERT,10,GPR,0.11353384317238348
Rg norm w/0.5,No regr out,All,ProtBERT,190,Kernel Ridge,0.11374924867990595
Rg norm w/0.406,buffer regr out,Inliers,ProtBERT,50,Ridge,0.11396704566328708
Rg norm w/0.406,buffer regr out,All,ProtBERT,20,GPR,0.11443369625918527
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,100,GPR,0.11446644659853294
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,20,GPR,0.11516870204677193
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,20,Linear,0.11528546891385558
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,50,GPR,0.11548313813420896
Rg norm w/0.421,pH regr out,All,ProtBERT,20,Lasso,0.11549427044691433
Rg norm w/0.421,pH regr out,All,ProtBERT,10,Lasso,0.11549483883674427
Rg norm w/0.421,No regr out,All,ProtBERT,20,Lasso,0.11549802850257132
Rg norm w/0.421,No regr out,All,ProtBERT,10,Lasso,0.11549859727814006
Rg norm w/0.421,pH regr out,All,ProtBERT,50,Lasso,0.11551514453658648
Rg norm w/0.421,pH regr out,All,ProtBERT,100,Lasso,0.11551515531639726
Rg norm w/0.421,pH regr out,All,ProtBERT,190,Lasso,0.11551515544065755
Rg norm w/0.421,buffer regr out,Inliers,ProtBERT,10,GPR,0.11551748199550237
Rg norm w/0.421,No regr out,All,ProtBERT,50,Lasso,0.11551882069194436
Rg norm w/0.421,No regr out,All,ProtBERT,100,Lasso,0.11551883141761052
Rg norm w/0.421,No regr out,All,ProtBERT,190,Lasso,0.11551883154178262
Rg norm w/0.406,buffer regr out,Inliers,ProtBERT,10,Lasso,0.11562298721995695
Rg norm w/0.406,buffer regr out,Inliers,ProtBERT,20,Lasso,0.11564183890580902
Rg norm w/0.406,buffer regr out,All,ProtBERT,50,GPR,0.11598870621194461
Rg norm w/0.421,No regr out,Inliers,ProtBERT,190,Linear,0.11690303785588776
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,190,Linear,0.11690354573026908
Rg norm w/0.406,buffer regr out,Inliers,ProtBERT,20,Kernel Ridge,0.11705079405041315
Rg norm w/0.406,buffer regr out,Inliers,ProtBERT,50,Kernel Ridge,0.1173178068522831
Rg norm w/0.406,buffer regr out,Inliers,ProtBERT,100,Lasso,0.11734859134222887
Rg norm w/0.406,No regr out,Inliers,ProtBERT,100,GPR,0.11785230266577701
