Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg norm w/0.5,buffer regr out,All,ProtBERT,mid,50,GPR,90/10,0.2792669758984727,0.046218857052944,4
Rg norm w/0.5,buffer regr out,All,ProtBERT,mid,20,Kernel Ridge,90/10,0.2790692275692354,0.0462251971779447,4
Rg norm w/0.5,buffer regr out,All,ProtBERT,low,100,GPR,90/10,0.2783616333889614,0.0462478766499498,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,100,Kernel Ridge,90/10,-0.6998603507668,0.0462763555540897,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,20,Kernel Ridge,90/10,-0.7002824651355657,0.0462821009384312,2
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,mid,100,GPR,90/10,0.2579159850374088,0.0463315999784658,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Kernel Ridge,90/10,0.3866064260312321,0.0463356475439138,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,GPR,90/10,0.3864036547903099,0.0463433055638224,1
Rg norm w/0.5,buffer regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.2732659134993043,0.0464108749531826,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,10,Ridge,90/10,-0.7113879500836651,0.046433001931436,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,10,Ridge,90/10,-0.7115896361782927,0.0464345924306298,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,Ridge,90/10,0.3826688021818095,0.0464865435234026,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Ridge,90/10,0.382596842250764,0.0464868425091143,1
Rg norm w/0.5,buffer regr out,All,ProtBERT,high,10,GPR,90/10,0.2691572026229863,0.0465418858048273,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,GPR,80/20,0.4053565129144553,0.0465595775723342,2
Rg norm w/0.5,buffer regr out,All,ProtBERT,high,100,GPR,90/10,0.268048393773291,0.0465771782754933,4
Rg norm w/0.5,buffer regr out,All,ProtBERT,mid,50,Kernel Ridge,90/10,0.2678748038375451,0.0465827010791815,4
Rg norm w/0.5,buffer regr out,All,ProtBERT,high,50,GPR,90/10,0.267802485615655,0.0465850017068227,4
Rg norm w/0.5,buffer regr out,All,ProtBERT,low,20,Kernel Ridge,90/10,0.2671319745868036,0.0466063269701798,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,Kernel Ridge,85/15,0.4887496625963743,0.0466068402426037,1
Rg norm w/0.5,buffer regr out,All,ProtBERT,high,20,Kernel Ridge,90/10,0.2668167492678528,0.0466163491803988,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,GPR,90/10,0.3791335686853379,0.0466170422880976,1
Rg norm w/0.5,buffer regr out,All,ProtBERT,high,20,GPR,90/10,0.2663499451734452,0.0466311866989086,4
Rg norm w/0.5,buffer regr out,All,ProtBERT,mid,100,Kernel Ridge,90/10,0.2661411587930959,0.0466378215134486,4
Rg norm w/0.5,buffer regr out,All,ProtBERT,high,50,Kernel Ridge,90/10,0.2658172821027321,0.0466481118010497,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,190,Ridge,90/10,-0.7335708379528016,0.0467329636608379,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,Ridge,90/10,-0.7338908657987584,0.0467361241481894,2
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,mid,20,GPR,90/10,0.2437982136298407,0.0467702411528022,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Ridge,90/10,0.3719633605957032,0.0468878839613265,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Ridge,90/10,0.3718865233772974,0.0468883209946797,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,Kernel Ridge,80/20,0.3957988601208833,0.0469322600291154,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Kernel Ridge,90/10,0.3692940987585824,0.046987419028002,1
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,mid,50,GPR,90/10,0.2365018802928485,0.0469953345530801,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,GPR,90/10,0.3687346183680896,0.0470058177541935,1
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,mid,190,Kernel Ridge,85/15,0.62651369921863,0.0470179337821048,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,GPR,90/10,0.3671443155067911,0.0470649897502701,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,Kernel Ridge,85/15,0.4765284812234067,0.0471589449015327,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,20,Lasso,90/10,-0.7696423014213798,0.0472154963413774,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,20,Lasso,90/10,-0.7696837345765812,0.0472172138222565,2
Rg norm w/0.406,No regr out,All,ProtBERT,mid,190,Ridge,90/10,0.0282224193988287,0.04722616788538,4
Rg norm w/0.5,pH regr out,All,ProtBERT,mid,190,Ridge,90/10,0.0274781804776028,0.047230836893796,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,190,GPR,80/20,0.3875744522987835,0.0472504603768716,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,GPR,90/10,0.3597699531824745,0.0473384083759924,1
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,mid,10,GPR,90/10,0.2250752058398519,0.0473456995740022,2
