Normalization,Regressing out,Points,Model,PCA Components,LayerGroup,Regression Type,mean_rmse,std_rmse,mean_r2,std_r2,runs
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,mid,GPR,0.0618697209518774,0.012119244453593208,0.12627154575899077,0.2256895311479817,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,mid,Ridge,0.06238296931347386,0.010651101616036473,0.11823225663773461,0.13929274737914107,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,mid,Ridge,0.06238346770935679,0.010651625370191042,0.11825663420251503,0.1392829600890562,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,low,Ridge,0.06250151579756645,0.011256058948984042,0.11833681882114476,0.15090501696231304,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,low,Ridge,0.06250194830147522,0.011257380588745309,0.11836641850105177,0.15089581901991175,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,high,Linear,0.0625125289242105,0.007936864131720256,0.10481589221837173,0.13771139734957935,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,high,Linear,0.0625132069432943,0.007935873596495934,0.10475635764765341,0.1377273073576806,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,low,Lasso,0.06268954936853388,0.01140166093943446,0.11520402602323569,0.1457863079381904,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,low,Lasso,0.0626901458415448,0.011403050582901206,0.11522889003901872,0.1457833920159456,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,mid,Lasso,0.06269212720224711,0.010318022546451212,0.10856102531539148,0.13736309540686678,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,mid,Lasso,0.06269278416917214,0.010318847931184455,0.10858176344505867,0.13735767621705275,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,mid,Linear,0.06294948522416192,0.010556638403267487,0.0970216152970003,0.1672346809997809,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,mid,Linear,0.06294989291240674,0.010557032013869979,0.09704931658566952,0.1672193243387292,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,low,Linear,0.0629839584901667,0.011450190678945442,0.1028632582801454,0.16490950011461034,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,low,Linear,0.062984434286884,0.011451511223146742,0.10289266551617769,0.16489559319994346,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,low,Linear,0.06351865302978765,0.010434529301601833,0.08352955463758595,0.16562345215468988,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,low,Linear,0.06351869446967151,0.010433554150981336,0.083487556175274,0.16562895422299023,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,high,GPR,0.06374520563657345,0.007403603322345942,0.025410742626324936,0.3714931597636291,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,low,Linear,0.06398703198126982,0.006233435046986537,-0.02582662465422705,0.5517108975177618,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,low,Linear,0.06398764456694926,0.0062329637974645035,-0.025816582863253473,0.5517324673239857,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,mid,GPR,0.06476044388290014,0.014152908402780238,0.03721127119182782,0.3281755385916869,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,low,Kernel Ridge,0.0679507757459339,0.011697583764008094,0.5050744555627714,0.09223836545910165,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,low,GPR,0.0682989900438485,0.008435230035915776,-0.1228648049640715,0.43033070577082305,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,low,GPR,0.06896036684523513,0.011401046341598841,0.48945377082881697,0.09249102139598306,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,high,GPR,0.0689782177938792,0.006369459765725829,-0.141917994597761,0.4275663645230278,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,low,Kernel Ridge,0.06922530918283402,0.011472384679730632,0.4855186907224043,0.09327707700493018,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,low,Kernel Ridge,0.06989948153979685,0.01148931118719057,0.16301383636475147,0.3438599275704914,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,low,GPR,0.07022011134708883,0.010807731640741286,0.46974591365237955,0.08831196669070772,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,high,GPR,0.07072932075266279,0.012442360131477334,0.46079264151477634,0.12380120027059696,4
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,190,low,Kernel Ridge,0.07111024663145338,0.012270727355834597,0.5100741659454994,0.0911239474449667,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,100,mid,Kernel Ridge,0.07123544282795582,0.007968740735214867,0.14028807517235184,0.2916188573297325,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,mid,Kernel Ridge,0.07126207662391723,0.008631717459454971,0.13950637854338907,0.29269284178362276,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,low,GPR,0.07139112954495308,0.012770590101752483,0.12408483728134405,0.36999282662239014,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,low,GPR,0.07142738974714373,0.008817135889853736,-0.23398123825005698,0.5033816708846203,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,mid,Ridge,0.07179000107465601,0.008127141468325307,0.12250512904283355,0.30482722962342346,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,100,low,Kernel Ridge,0.07179319205235705,0.011079146716908477,0.12374638250594866,0.3388348355310187,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,high,Kernel Ridge,0.07179703517049625,0.006933144133145111,0.13764028170319592,0.2282421451826408,4
Rg norm w/0.427,No regr out,Inliers,ProtBERT,100,mid,Ridge,0.07181559685119608,0.011377637973968747,0.43479325169301203,0.15779603476988757,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,mid,Ridge,0.0718167045725115,0.011377183724222488,0.43475705809788984,0.15780246143839868,4
Rg norm w/0.427,No regr out,Inliers,ProtBERT,190,low,GPR,0.0718889782741634,0.010166219035647362,0.4223433569267517,0.18119259583400907,4
Rg norm w/0.427,No regr out,Inliers,ProtBERT,190,mid,Kernel Ridge,0.07203313194085235,0.010406348021155934,0.43000620269303,0.13621008884582833,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,mid,Kernel Ridge,0.07207181302986702,0.010485942540793283,0.4322415048173614,0.13409490171494576,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,100,high,Kernel Ridge,0.0721032421126351,0.007995895442432462,0.13276302947053328,0.2297104720133748,4
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,190,low,GPR,0.07214991649816933,0.011943741342054864,0.49478517712661735,0.09151863546353015,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,mid,GPR,0.07232570729485768,0.013717846635075304,-0.20954014303550136,0.3612831084189018,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,50,low,Kernel Ridge,0.07238725479828333,0.008110601824571385,0.11772447784222188,0.2632591155645199,4
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,100,low,Kernel Ridge,0.07245052999243497,0.011999441955289257,0.49034507144087797,0.09362686838628878,4
Rg norm w/0.427,No regr out,Inliers,ProtBERT,190,mid,Ridge,0.07247071083291852,0.010895886545339292,0.4222942148816467,0.15651536066275096,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,mid,Ridge,0.07247154846377042,0.01089529051235721,0.42226110869455274,0.15652262202914768,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,100,mid,Ridge,0.07250815280854302,0.008204979728136141,0.11480340448004471,0.27150015446432035,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,20,low,Kernel Ridge,0.0725165750617114,0.009958664588998087,0.11752915832626872,0.2787157727701865,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,high,GPR,0.07254195558247621,0.010500024398768504,0.12209541210370506,0.2629100141405584,4
Rg norm w/0.427,No regr out,Inliers,ProtBERT,190,mid,Lasso,0.07264162105715077,0.01174864980359242,0.41553888301867253,0.1826004641825353,4
