Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed,Combined Score,_source_file
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,190,Kernel Ridge,85/15,0.3204671736481176,0.0400980039677198,3.0,0.9987534747144514,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,20,Kernel Ridge,85/15,0.3195227242421318,0.0401258594186236,3.0,0.998751202918744,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,Kernel Ridge,90/10,0.3179863683819232,0.0401838744982742,3.0,0.9987470936168454,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,GPR,90/10,0.5547469620289578,0.0402253978776427,1.0,0.9990878033860976,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,20,GPR,90/10,0.3130652384615271,0.0403285890746169,3.0,0.9987352701986985,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,10,GPR,90/10,0.5509644194637737,0.0403958992379484,1.0,0.9990767850400544,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.5508423190959839,0.040401391028706,1.0,0.9990764297586324,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,Kernel Ridge,90/10,0.3086182650831975,0.0404589150251129,3.0,0.9987246004816516,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,100,Kernel Ridge,85/15,0.3067977862351501,0.0404992988412684,3.0,0.9987206549663528,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,190,GPR,85/15,0.6930898055831096,0.0405157548707381,1.0,0.9992782182458028,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,GPR,85/15,0.3050818011747668,0.0405493947837013,3.0,0.9987165440812896,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,50,Linear,90/10,0.3020367562240941,0.0406509778142358,3.0,0.998708836013534,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,Linear,90/10,0.3020244394437686,0.0406513889897417,3.0,0.998708804826152,all_rows_sorted_by_rmse.csv
