Normalization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.406,pH regr out,All,1,Kernel Ridge,90/10,-0.03140947653997972,0.11289227219197892
Rg norm w/0.406,pH regr out,Inliers,1,Kernel Ridge,90/10,0.4557668012392284,0.0819398900790758
Rg norm w/0.406,pH regr out,All,1,GPR,90/10,-0.775028976036467,0.14809874524741762
Rg norm w/0.406,pH regr out,Inliers,1,GPR,90/10,0.1259535872286076,0.10384129822990694
Rg w/no norm,buffer regr out,All,1,Linear,80/20,0.30754217457356736,1.9268897856917049
Rg w/no norm,buffer regr out,Inliers,1,Linear,80/20,0.36873259951076454,1.1761422037626132
Rg w/no norm,buffer regr out,All,1,Ridge,80/20,0.2510568316143862,2.0039396697967287
Rg w/no norm,buffer regr out,Inliers,1,Ridge,80/20,0.3057072832314236,1.2334582601881403
Rg w/no norm,buffer regr out,All,1,Lasso,80/20,0.21666357428694571,2.0494360525274202
Rg w/no norm,buffer regr out,Inliers,1,Lasso,80/20,0.2778162029869141,1.2579895200007194
Rg w/no norm,buffer regr out,All,1,Kernel Ridge,80/20,0.24918756821946741,2.00643889592504
Rg w/no norm,buffer regr out,Inliers,1,Kernel Ridge,80/20,0.2902252396530969,1.2471348887290041
Rg w/no norm,buffer regr out,All,1,GPR,80/20,0.6469026176167603,1.3759652305781904
Rg w/no norm,buffer regr out,Inliers,1,GPR,80/20,-0.2026394043136277,1.6233825286074977
Rg w/no norm,buffer regr out,All,1,Linear,85/15,0.2760433987126417,2.14495513943718
Rg w/no norm,buffer regr out,Inliers,1,Linear,85/15,0.42104042784592943,1.0490085901511341
Rg w/no norm,buffer regr out,All,1,Ridge,85/15,0.2278772528378723,2.2151601037515274
Rg w/no norm,buffer regr out,Inliers,1,Ridge,85/15,0.39440076495825993,1.0728711922947987
Rg w/no norm,buffer regr out,All,1,Lasso,85/15,0.19730918208218606,2.2585832075264483
Rg w/no norm,buffer regr out,Inliers,1,Lasso,85/15,0.31355175834345994,1.1422438375207171
Rg w/no norm,buffer regr out,All,1,Kernel Ridge,85/15,0.22500662738952182,2.219274084086366
Rg w/no norm,buffer regr out,Inliers,1,Kernel Ridge,85/15,0.46904390845576216,1.0045793094795785
Rg w/no norm,buffer regr out,All,1,GPR,85/15,0.670144620602446,1.4478505414634464
Rg w/no norm,buffer regr out,Inliers,1,GPR,85/15,-0.10699907138066278,1.4505361394206393
Rg w/no norm,buffer regr out,All,1,Linear,90/10,-0.36881421381340584,1.3495825442900549
Rg w/no norm,buffer regr out,Inliers,1,Linear,90/10,0.3018206191211563,0.9632032009071527
Rg w/no norm,buffer regr out,All,1,Ridge,90/10,0.057886749758243816,1.119640901363423
Rg w/no norm,buffer regr out,Inliers,1,Ridge,90/10,0.3389895115530427,0.9372136021952054
Rg w/no norm,buffer regr out,All,1,Lasso,90/10,0.20884607750606876,1.0260244074507678
Rg w/no norm,buffer regr out,Inliers,1,Lasso,90/10,0.3273676002177045,0.9454167646768469
Rg w/no norm,buffer regr out,All,1,Kernel Ridge,90/10,0.07990291086613399,1.1064811701939585
Rg w/no norm,buffer regr out,Inliers,1,Kernel Ridge,90/10,0.4941210470811934,0.8198940094534989
Rg w/no norm,buffer regr out,All,1,GPR,90/10,-0.18430862291046246,1.2553350213035865
Rg w/no norm,buffer regr out,Inliers,1,GPR,90/10,0.022353071977635586,1.139791536361643
Rg norm w/0.421,buffer regr out,All,1,Linear,80/20,-0.007105688694042378,0.14484166302172724
Rg norm w/0.421,buffer regr out,Inliers,1,Linear,80/20,0.26154643759923624,0.10434794608747053
Rg norm w/0.421,buffer regr out,All,1,Ridge,80/20,0.07353294801303722,0.13892198098145925
Rg norm w/0.421,buffer regr out,Inliers,1,Ridge,80/20,0.10838577256259241,0.11465970104871509
Rg norm w/0.421,buffer regr out,All,1,Lasso,80/20,-0.0024864788888672162,0.1445091145236356
Rg norm w/0.421,buffer regr out,Inliers,1,Lasso,80/20,0.06731375298925513,0.11727085637484401
Rg norm w/0.421,buffer regr out,All,1,Kernel Ridge,80/20,-0.00023554100887235307,0.14434678623050598
Rg norm w/0.421,buffer regr out,Inliers,1,Kernel Ridge,80/20,-0.004963381648145138,0.12172994586772964
Rg norm w/0.421,buffer regr out,All,1,GPR,80/20,0.21697280540883523,0.12771573313630308
Rg norm w/0.421,buffer regr out,Inliers,1,GPR,80/20,-0.32674358719770713,0.13986717678393068
