Normalization,Regressing out,Points,Model,PCA Components,Regression Type,RMSE Score
Rg norm w/0.5,buffer regr out,All,ProtBERT,50,Lasso,0.10942365313727208
Rg norm w/0.5,buffer regr out,All,ProtBERT,190,Lasso,0.10942868778772642
Rg norm w/0.5,buffer regr out,All,ProtBERT,100,Lasso,0.10942899052573037
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Linear,0.10949335691006523
Rg norm w/0.418,No regr out,All,ProtBERT,20,Linear,0.10949426608920394
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,50,Kernel Ridge,0.10962603388559876
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,10,Linear,0.10977094935064702
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,100,Kernel Ridge,0.10988757559927892
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,20,Linear,0.110053941318831
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,190,Kernel Ridge,0.11007453390788846
Rg norm w/0.418,No regr out,Inliers,ProtBERT,190,Linear,0.11022102144405244
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,190,Linear,0.11022114620392658
Rg norm w/0.5,expr buffer only regr out,Inliers,ProtBERT,50,Kernel Ridge,0.11047769568015177
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,20,Ridge,0.11063214262626343
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,GPR,0.11081400890308253
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,10,Kernel Ridge,0.11132741721216143
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,20,Kernel Ridge,0.11141077816027047
Rg norm w/0.5,expr buffer only regr out,Inliers,ProtBERT,190,Kernel Ridge,0.11143098474951225
Rg norm w/0.5,pH regr out,All,ProtBERT,10,Ridge,0.11167104477718971
Rg norm w/0.418,No regr out,All,ProtBERT,10,Ridge,0.11167381767953832
