Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,20,Kernel Ridge,85/15,0.2981761745719321,1.593543035493993,3
Rg w/no norm,buffer regr out,All,ProtBERT,50,Lasso,85/15,-0.1876250333869507,1.5939568301429088,2
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,50,Ridge,85/15,0.3601034460679713,1.595110781114643,4
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,100,Ridge,85/15,0.2956388224277786,1.5964210596543225,3
Rg w/no norm,pH regr out,All,ProtBERT,10,Kernel Ridge,85/15,-0.074256129101107,1.597762579426258,2
Rg w/no norm,pH regr out,All,ProtBERT,100,Ridge,80/20,-0.1534659112606329,1.5981341440935084,2
Rg w/no norm,No regr out,All,ProtBERT,100,Ridge,80/20,-0.1534961767980047,1.598196928260348,2
Rg w/no norm,expr pH only regr out,Inliers,ProtBERT,50,Linear,85/15,0.4948757267705566,1.59830026479198,4
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,80/20,0.5425206148781953,1.5985821742112498,1
Rg w/no norm,pH regr out,All,ProtBERT,50,Ridge,80/20,0.5425215984923106,1.5985857436157371,1
Rg w/no norm,No regr out,All,ProtBERT,100,Kernel Ridge,80/20,0.5424453356350663,1.5987136939145623,1
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,10,Kernel Ridge,90/10,0.2961157464141485,1.5989425695985122,2
Rg w/no norm,pH regr out,All,ProtBERT,190,Kernel Ridge,90/10,0.2192458029979456,1.5989776688065491,4
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,10,Kernel Ridge,80/20,0.2715452395238127,1.6010125080962672,3
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,80/20,-1.1053114145637593,1.6016418293903516,3
Rg w/no norm,No regr out,All,ProtBERT,190,Lasso,80/20,-1.1053114282809615,1.6016418346081176,3
Rg w/no norm,No regr out,All,ProtBERT,100,Lasso,80/20,-1.105311428369324,1.601641834641729,3
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,80/20,-1.105325342752746,1.6016471274030442,3
Rg w/no norm,No regr out,All,ProtBERT,20,Lasso,80/20,-1.1053403482899284,1.601652835198465,3
Rg w/no norm,pH regr out,All,ProtBERT,50,Lasso,80/20,-1.105175768905379,1.6016831458153955,3
Rg w/no norm,pH regr out,All,ProtBERT,190,Lasso,80/20,-1.1051757826216797,1.6016831510332896,3
Rg w/no norm,pH regr out,All,ProtBERT,100,Lasso,80/20,-1.1051757827100444,1.601683151066905,3
Rg w/no norm,pH regr out,All,ProtBERT,10,Lasso,80/20,-1.1051896973584951,1.6016884444066186,3
Rg w/no norm,pH regr out,All,ProtBERT,20,Lasso,80/20,-1.1052046996066776,1.6016941514658862,3
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,20,Kernel Ridge,80/20,0.4032755050196392,1.60174439598184,2
Rg w/no norm,expr pH only regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,0.4598160635445437,1.6018532936293328,4
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,85/15,-0.9160662293771102,1.602168680753118,3
Rg w/no norm,pH regr out,All,ProtBERT,10,Lasso,85/15,-0.91590377567262,1.602201142314482,3
Rg w/no norm,No regr out,All,ProtBERT,190,Kernel Ridge,80/20,0.5404402703908837,1.6022127525262282,1
Rg w/no norm,expr pH only regr out,Inliers,ProtBERT,20,Kernel Ridge,85/15,0.3649854298380049,1.6030565758306947,3
Rg w/no norm,buffer regr out,All,ProtBERT,20,Ridge,80/20,-1.0714112460392258,1.604181797665288,3
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,100,GPR,80/20,0.2986401716871217,1.6045065015201991,1
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.2500691672983597,1.605561033826836,4
