Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Linear,85/15,-0.205212901315039,0.09094987687259488
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Ridge,85/15,-0.16645491968035686,0.08947551546919735
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Lasso,85/15,-0.1517774437310231,0.08891079919577682
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Kernel Ridge,85/15,0.005815713646662668,0.08260449428908478
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,GPR,85/15,-1.99444206789618,0.1433600643205694
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Linear,90/10,-0.03670916321049922,0.08598666181022786
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Ridge,90/10,-0.02711541670607298,0.0855878751298123
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Lasso,90/10,0.03700410817631372,0.08287333910354128
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Kernel Ridge,90/10,0.13670025034564137,0.07846634580978744
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,GPR,90/10,-1.418292636561346,0.13132791434849755
Rg norm w/0.427,No regr out,All,ProtBERT,20,Linear,80/20,-0.10964012653956301,0.4847388958029561
Rg norm w/0.427,No regr out,All,ProtBERT,20,Ridge,80/20,-0.06338356625952235,0.4745279140140889
Rg norm w/0.427,No regr out,All,ProtBERT,20,Lasso,80/20,-0.003095979768635626,0.460880186060483
Rg norm w/0.427,No regr out,All,ProtBERT,20,Kernel Ridge,80/20,-0.051253341929868634,0.4718136348699207
Rg norm w/0.427,No regr out,All,ProtBERT,20,GPR,80/20,-0.16349597005332916,0.49636280977038827
Rg norm w/0.427,No regr out,All,ProtBERT,20,Linear,85/15,-3.22571870246985,0.17235230929097214
Rg norm w/0.427,No regr out,All,ProtBERT,20,Ridge,85/15,-2.3092085667698004,0.15252073340379949
Rg norm w/0.427,No regr out,All,ProtBERT,20,Lasso,85/15,-0.3422896845278838,0.09713817532599009
Rg norm w/0.427,No regr out,All,ProtBERT,20,Kernel Ridge,85/15,-3.4948775621433654,0.17775660544682043
Rg norm w/0.427,No regr out,All,ProtBERT,20,GPR,85/15,-5.616141391158734,0.21565980285233657
Rg norm w/0.427,No regr out,All,ProtBERT,20,Linear,90/10,-2.637308401127772,0.1464060223444834
Rg norm w/0.427,No regr out,All,ProtBERT,20,Ridge,90/10,-2.011785154648958,0.13322351036478716
Rg norm w/0.427,No regr out,All,ProtBERT,20,Lasso,90/10,-0.6014048872481979,0.09714477652150612
Rg norm w/0.427,No regr out,All,ProtBERT,20,Kernel Ridge,90/10,-0.9979518988741165,0.10850790859742755
Rg norm w/0.427,No regr out,All,ProtBERT,20,GPR,90/10,-5.931381524724343,0.20210580183652724
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Linear,80/20,0.053441589009760815,0.08478275303544723
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Ridge,80/20,0.05333145306043041,0.0847876853023216
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Lasso,80/20,0.07326726373208348,0.08389016671988755
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Kernel Ridge,80/20,0.11546045683343442,0.08195820376359189
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,GPR,80/20,-0.2698116024944559,0.09819818273094762
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Linear,85/15,0.020532046867003162,0.08199084173375389
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Ridge,85/15,0.023802842104918454,0.08185382882189558
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Lasso,85/15,0.05747429362061485,0.08042977086433033
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Kernel Ridge,85/15,0.11067942921811946,0.07812668524827569
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,GPR,85/15,-0.2774201944879906,0.09363476357509562
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Linear,90/10,0.08651090705840703,0.08071500974821047
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Ridge,90/10,0.07990377105470636,0.0810063838932506
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Lasso,90/10,0.07841706786733738,0.08107180305025707
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,Kernel Ridge,90/10,0.22648343309109253,0.07427410551423705
Rg norm w/0.427,No regr out,Inliers,ProtBERT,20,GPR,90/10,-0.5380780771677538,0.10473499382717301
Rg norm w/0.427,No regr out,All,ProtBERT,50,Linear,80/20,-0.22180162090999223,0.5086477656530947
Rg norm w/0.427,No regr out,All,ProtBERT,50,Ridge,80/20,-0.08857722187702888,0.48011625950024966
Rg norm w/0.427,No regr out,All,ProtBERT,50,Lasso,80/20,-0.003095979768635626,0.460880186060483
Rg norm w/0.427,No regr out,All,ProtBERT,50,Kernel Ridge,80/20,-0.07281013532281388,0.476626545529849
Rg norm w/0.427,No regr out,All,ProtBERT,50,GPR,80/20,-0.08927635726562655,0.4802704113523438
Rg norm w/0.427,No regr out,All,ProtBERT,50,Linear,85/15,-10.76653001114687,0.2876014149562215
Rg norm w/0.427,No regr out,All,ProtBERT,50,Ridge,85/15,-3.2450168367701524,0.17274541274681843
Rg norm w/0.427,No regr out,All,ProtBERT,50,Lasso,85/15,-0.3422896845278838,0.09713817532599009
Rg norm w/0.427,No regr out,All,ProtBERT,50,Kernel Ridge,85/15,-0.06592697150676918,0.08656264947646825
Rg norm w/0.427,No regr out,All,ProtBERT,50,GPR,85/15,-5.692707195768257,0.21690408314467466
Rg norm w/0.427,No regr out,All,ProtBERT,50,Linear,90/10,-5.383571767107249,0.19395489797676338
Rg norm w/0.427,No regr out,All,ProtBERT,50,Ridge,90/10,-2.5574250544029047,0.14478939667523716
Rg norm w/0.427,No regr out,All,ProtBERT,50,Lasso,90/10,-0.6014048872481979,0.09714477652150612
Rg norm w/0.427,No regr out,All,ProtBERT,50,Kernel Ridge,90/10,-1.1910802548014212,0.11363131205523506
Rg norm w/0.427,No regr out,All,ProtBERT,50,GPR,90/10,-6.020772583565136,0.2034048628781256
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Linear,80/20,0.005195409293102138,0.08691659326684048
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Ridge,80/20,0.15198859215347826,0.08024808040937927
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Lasso,80/20,0.008274396723035649,0.08678198266421668
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Kernel Ridge,80/20,0.1860357816752748,0.07862061960861391
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,GPR,80/20,-0.14452218530644978,0.0932279024277747
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Linear,85/15,0.013140159689170483,0.08229964605536666
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Ridge,85/15,0.17795833599660893,0.07511335219450618
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Lasso,85/15,0.01653175991754774,0.08215810228011004
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Kernel Ridge,85/15,0.2345495885765475,0.07248176493250229
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,GPR,85/15,-0.09669623835361052,0.08675877401649686
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Linear,90/10,0.29519799076693964,0.07089835964825232
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Ridge,90/10,0.2794818667454313,0.07168446989852785
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Lasso,90/10,0.05676623935302694,0.08201858808953418
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,0.18651437813404492,0.07616887848864978
Rg norm w/0.427,No regr out,Inliers,ProtBERT,50,GPR,90/10,-0.08212989752036859,0.08785011178788459
