Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,expr buffer only regr out,All,-1,Ridge,80/20,0.33383219963088273,0.2678557519635525
Rg norm w/0.427,expr buffer only regr out,All,-1,Lasso,80/20,0.3557948782399325,0.26340332028886393
Rg norm w/0.427,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.3252699172431276,0.26957163653202326
Rg norm w/0.427,expr buffer only regr out,All,-1,GPR,80/20,0.27949460668083004,0.278565787271606
Rg norm w/0.427,expr buffer only regr out,All,-1,Linear,85/15,-10590334637.481552,36051.411888596755
Rg norm w/0.427,expr buffer only regr out,All,-1,Ridge,85/15,0.39906597425485435,0.27156940052544776
Rg norm w/0.427,expr buffer only regr out,All,-1,Lasso,85/15,0.4405965283188402,0.2620173287429233
Rg norm w/0.427,expr buffer only regr out,All,-1,Kernel Ridge,85/15,0.3892476045657449,0.2737789323578376
Rg norm w/0.427,expr buffer only regr out,All,-1,GPR,85/15,0.31929975290582635,0.2890316420342257
Rg norm w/0.427,expr buffer only regr out,All,-1,Linear,90/10,-39422545048.00146,36403.372197784
Rg norm w/0.427,expr buffer only regr out,All,-1,Ridge,90/10,0.35138240218108696,0.1476602674512293
Rg norm w/0.427,expr buffer only regr out,All,-1,Lasso,90/10,0.4492933364157916,0.1360596823577217
Rg norm w/0.427,expr buffer only regr out,All,-1,Kernel Ridge,90/10,0.5199922220655828,0.12702623450587983
Rg norm w/0.427,expr buffer only regr out,All,-1,GPR,90/10,0.14314063387404752,0.1697164977397211
Rg norm w/0.5,expr buffer only regr out,All,-1,Linear,80/20,-20764101742.89596,37870.653007953035
Rg norm w/0.5,expr buffer only regr out,All,-1,Ridge,80/20,0.3165744734798801,0.2172660244420798
Rg norm w/0.5,expr buffer only regr out,All,-1,Lasso,80/20,0.3054800333414882,0.2190224272103805
Rg norm w/0.5,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.3095660866017985,0.21837719199530828
Rg norm w/0.5,expr buffer only regr out,All,-1,GPR,80/20,0.11099933740035006,0.24779769483123565
Rg norm w/0.5,expr buffer only regr out,All,-1,Linear,85/15,-21595826738.118687,39803.49572037426
