Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,90/10,0.5424737581873607,0.8439966390880073
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,90/10,0.6641820850867053,0.6040857613321026
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,90/10,0.5292498302478585,0.8561068177273359
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,90/10,0.5475775998095471,0.701162560954439
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,90/10,0.741481308548106,0.6344226614126317
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,90/10,0.6810096358022284,0.588756142417136
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,90/10,-5.0018108318112295,3.056848142561694
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,90/10,-10.008454909263476,3.458675781055001
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,80/20,0.013102202235938942,2.6394097059678496
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,80/20,0.5055664560650482,0.8061806841274342
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,80/20,0.4488486053092877,1.9724507804255098
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,80/20,0.6972293151793524,0.6308634061243339
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,80/20,0.3365962135674483,2.1640121382369863
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,80/20,0.6405444275547545,0.6873865580410317
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,80/20,0.5502244149570736,1.7818398112169522
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,80/20,0.6418688409743232,0.6861190521554247
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,80/20,-0.6197068925231655,3.381340720573429
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,80/20,-9.173599208170154,3.656922336104079
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,85/15,0.6093942891715295,1.80962410542324
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,85/15,0.504931239535348,0.787697483354029
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,85/15,0.4524160680661392,2.1426164079743724
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,85/15,0.6586464349211921,0.6540770606346288
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,85/15,0.33686154055506967,2.3578772188723476
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,85/15,0.6113922124007986,0.697882722106956
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,85/15,0.2443972757405919,2.5168992767647724
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,85/15,0.5697139517343053,0.7343537702523435
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,85/15,-0.4430281152389053,3.478215409477584
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,85/15,-9.750148923412116,3.670573602149001
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,90/10,-1.4435462267321615,1.9504866972343033
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,90/10,0.5461857521813533,0.7022402728643701
