Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,85/15,-170.4792385045596,30579.527381658518
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,85/15,0.320578437364437,0.26136486944688053
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,85/15,0.2931129969007107,0.2660549540138939
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.3300508039620259,0.26816993093635255
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,85/15,-0.2263134665228428,0.30874950358778985
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,90/10,-62074652638.77693,54106.93323829465
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,90/10,0.2205783413426684,0.22842634776972764
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,90/10,0.3057449888895228,0.22217448137644893
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.2999977044511246,0.22451099757650192
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,90/10,-0.1528585639556419,0.2955720100618087
Rg norm w/0.418,expr pH only regr out,All,-1,Linear,80/20,-604.0515868291919,5685.671661919992
Rg norm w/0.418,expr pH only regr out,All,-1,Ridge,80/20,0.1173295400002798,0.2975598733074324
Rg norm w/0.418,expr pH only regr out,All,-1,Lasso,80/20,0.2642363545876885,0.30402310106436176
Rg norm w/0.418,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.3036817408453611,0.2956430253052819
Rg norm w/0.418,expr pH only regr out,All,-1,GPR,80/20,-0.040416354868999,0.27134407253175485
Rg norm w/0.418,expr pH only regr out,All,-1,Linear,85/15,-542.1343098389319,21436.001089411533
Rg norm w/0.418,expr pH only regr out,All,-1,Ridge,85/15,0.2489355481893307,0.32546820875936217
Rg norm w/0.418,expr pH only regr out,All,-1,Lasso,85/15,0.3003801700918757,0.3272016836868564
Rg norm w/0.418,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.3827622792927422,0.3236043327771275
Rg norm w/0.418,expr pH only regr out,All,-1,GPR,85/15,-0.0532868264610233,0.29936270155098227
Rg norm w/0.418,expr pH only regr out,All,-1,Linear,90/10,-49466467525.55548,37927.101525869366
Rg norm w/0.418,expr pH only regr out,All,-1,Ridge,90/10,0.2049171614522601,0.2408921420437616
Rg norm w/0.418,expr pH only regr out,All,-1,Lasso,90/10,-0.2050444961259001,0.24759912250570038
Rg norm w/0.418,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.2446474250783483,0.23658334987222038
Rg norm w/0.418,expr pH only regr out,All,-1,GPR,90/10,0.0111696584645162,0.2788945398004373
Rg w/no norm,expr buffer only regr out,All,-1,Linear,80/20,-4792088.632761069,50866.86427433843
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,80/20,0.2540230332304326,2.6380443879194018
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,80/20,0.1720775350640542,2.636878378327181
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.3347212786965342,2.619350777299465
Rg w/no norm,expr buffer only regr out,All,-1,GPR,80/20,0.006135783224867,2.9372716536988186
Rg w/no norm,expr buffer only regr out,All,-1,Linear,85/15,-5314358.040186423,180203.87209503487
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,85/15,0.2247513263007626,2.785447322704825
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,85/15,0.1322465257936507,2.7414792868976603
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,85/15,0.3118461859035378,2.7681680698281603
Rg w/no norm,expr buffer only regr out,All,-1,GPR,85/15,-0.0593162281800292,3.0477529268879175
Rg w/no norm,expr buffer only regr out,All,-1,Linear,90/10,-26731567871.90864,315631.87411518354
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,90/10,0.1458453297806906,2.1741304835043183
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,90/10,0.1568905319068746,2.1847661055996945
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,90/10,0.1424020818633457,2.1574901093347596
Rg w/no norm,expr buffer only regr out,All,-1,GPR,90/10,-0.0702934811023643,2.8074894413632636
Rg norm w/0.427,expr buffer only regr out,All,-1,Linear,80/20,-3879957.990011574,7214.48456984106
Rg norm w/0.427,expr buffer only regr out,All,-1,Ridge,80/20,0.1839902397166025,0.3051719919108161
Rg norm w/0.427,expr buffer only regr out,All,-1,Lasso,80/20,0.2323270059814756,0.31030059986886666
Rg norm w/0.427,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.3038598600638243,0.30429570646421666
Rg norm w/0.427,expr buffer only regr out,All,-1,GPR,80/20,-0.1931413639659662,0.3253557086549872
Rg norm w/0.427,expr buffer only regr out,All,-1,Linear,85/15,-3485259.8707594112,25937.245371642395
Rg norm w/0.427,expr buffer only regr out,All,-1,Ridge,85/15,0.2492487786415329,0.32843096449212916
Rg norm w/0.427,expr buffer only regr out,All,-1,Lasso,85/15,0.2825545627163611,0.32268372063943196
Rg norm w/0.427,expr buffer only regr out,All,-1,Kernel Ridge,85/15,0.4050644066807818,0.3255806355062033
Rg norm w/0.427,expr buffer only regr out,All,-1,GPR,85/15,-0.2227613414484437,0.345647354021165
Rg norm w/0.427,expr buffer only regr out,All,-1,Linear,90/10,-45266789423.63188,45619.938283462616
Rg norm w/0.427,expr buffer only regr out,All,-1,Ridge,90/10,0.2655047974146294,0.2549229164546653
Rg norm w/0.427,expr buffer only regr out,All,-1,Lasso,90/10,-0.1272463522779987,0.2602478790106553
Rg norm w/0.427,expr buffer only regr out,All,-1,Kernel Ridge,90/10,0.3025697987029573,0.25127363745305203
Rg norm w/0.427,expr buffer only regr out,All,-1,GPR,90/10,-0.2293763000663058,0.324796581915889
Rg norm w/0.5,expr buffer only regr out,All,-1,Linear,80/20,-4449101.689111699,7946.702878820275
Rg norm w/0.5,expr buffer only regr out,All,-1,Ridge,80/20,0.2492087864933775,0.24636731030424883
Rg norm w/0.5,expr buffer only regr out,All,-1,Lasso,80/20,0.2472783774816251,0.2452414936520692
Rg norm w/0.5,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.2679718049895596,0.24828636838501966
Rg norm w/0.5,expr buffer only regr out,All,-1,GPR,80/20,-0.2919697794960185,0.2858394785701339
