Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.2639982156252585,0.05585684953880308
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,GPR,85/15,0.1894362197070586,0.058617946468288086
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Linear,90/10,-0.413464772772119,0.07600178560654082
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Ridge,90/10,-0.34977753031137526,0.07426982461005094
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Lasso,90/10,-0.2113484439909321,0.07035838207992663
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.4433099768322185,0.0476966657122019
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,GPR,90/10,0.5054365663891816,0.0449564803267745
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Linear,80/20,-0.29824311354377864,0.07037823580701785
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Ridge,80/20,-0.12834651245224737,0.06561174792493928
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Lasso,80/20,-0.13198180128493187,0.06571735637396196
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.21030625379328494,0.06795290081960831
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.18206783667768733,0.06715549622808983
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Linear,85/15,-0.08634643546370513,0.060124697192227065
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Ridge,85/15,-0.03302735204853935,0.05863064078043697
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Lasso,85/15,-0.06801232084167852,0.05961518029251945
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,-0.17220066435548853,0.062455359404983576
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.10103261720143464,0.06052974198516575
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Linear,90/10,-0.31419224748453267,0.06094163647222245
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Ridge,90/10,-0.25498253328220444,0.0595529805759861
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.28575550564770635,0.06027869729758219
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.13432782645330876,0.05661792577462509
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,GPR,90/10,-0.028074013958445665,0.053901003741806
