Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,90/10,0.5105059934478089,1.0885065438472743
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,80/20,-0.008524753267459939,1.4172564034754478
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,80/20,0.303789569948154,1.1775392973765968
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,80/20,0.2923551462030797,1.1871697536283512
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,80/20,0.2830670265366124,1.1949353921092614
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,80/20,0.30537603888609977,1.1761968907648004
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,85/15,-0.12340322028914041,1.5787956593819554
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,85/15,0.27134248392404814,1.271510105008274
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,85/15,0.29358983114555104,1.2519487839040078
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,85/15,0.24201774323623482,1.2968436243415038
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,85/15,0.24368916546190766,1.295413004110858
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,90/10,-0.30680506997508594,1.7785364095333804
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,90/10,0.2464680121907037,1.3505423321161647
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,90/10,0.269891147940333,1.329386187117064
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,90/10,0.21768576195828215,1.3760935910068204
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,90/10,0.15925480199023767,1.4265583912525668
Rg w/no norm,No regr out,All,ESM-6,1,106,Linear,80/20,-3.93281820326464,3.1424341772352555
Rg w/no norm,No regr out,All,ESM-6,1,106,Ridge,80/20,0.36545156225566355,1.1270703480278221
Rg w/no norm,No regr out,All,ESM-6,1,106,Lasso,80/20,0.4850152964817692,1.0153500610283985
Rg w/no norm,No regr out,All,ESM-6,1,106,Kernel Ridge,80/20,0.29908240992546486,1.1845465005600493
Rg w/no norm,No regr out,All,ESM-6,1,106,GPR,80/20,-0.07641713412396856,1.4679421322190394
Rg w/no norm,No regr out,All,ESM-6,1,112,Linear,85/15,-5.551373633556681,3.6273568611857203
Rg w/no norm,No regr out,All,ESM-6,1,112,Ridge,85/15,0.41608501694662803,1.0829263199645935
Rg w/no norm,No regr out,All,ESM-6,1,112,Lasso,85/15,0.4209223464945617,1.0784313454521943
Rg w/no norm,No regr out,All,ESM-6,1,112,Kernel Ridge,85/15,0.3473675066560846,1.1448759855255868
Rg w/no norm,No regr out,All,ESM-6,1,112,GPR,85/15,0.2545695514096359,1.223566741703742
Rg w/no norm,No regr out,All,ESM-6,1,120,Linear,90/10,-8.768938154034728,4.414417808746619
Rg w/no norm,No regr out,All,ESM-6,1,120,Ridge,90/10,0.388952887969675,1.1040458332642111
Rg w/no norm,No regr out,All,ESM-6,1,120,Lasso,90/10,0.34262454432771305,1.145134495989964
Rg w/no norm,No regr out,All,ESM-6,1,120,Kernel Ridge,90/10,0.27164042506540065,1.2053763661755643
Rg w/no norm,No regr out,All,ESM-6,1,120,GPR,90/10,0.10806373959003734,1.3338797057916134
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,80/20,-2.7058538915408734,2.7237220134091014
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,80/20,0.3644027702714505,1.1280013835852603
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,80/20,0.4850152964817692,1.0153500610283985
